Driver Name,Average Finish,Reason for DNF,Podium Results,Average Pitstop Time,Lap Results
hamilton,"{'Average Starting Grid': 3, 'Average Finishing Position': 3}","{'Finishing Status': ['Finished', 'Collision'], 'Count': ['21', '1']}","{'First place: ': 8, 'Second place: ': 8, 'Third place: ': 1}",214.7705957,"{'Fastest Lap Time': 156.656, 'Average Lap Time': 92.73281818181819}"
bottas,"{'Average Starting Grid': 6, 'Average Finishing Position': 7}","{'Finishing Status': ['Finished', 'Collision', '+2 Laps', 'Wheel nut', 'Damage'], 'Count': ['17', '2', '1', '1', '1']}","{'First place: ': 1, 'Second place: ': 0, 'Third place: ': 9}",180.1570256,"{'Fastest Lap Time': 154.199, 'Average Lap Time': 94.8193661971831}"
max_verstappen,"{'Average Starting Grid': 3, 'Average Finishing Position': 4}","{'Finishing Status': ['Finished', 'Accident', 'Collision'], 'Count': ['19', '1', '2']}","{'First place: ': 9, 'Second place: ': 8, 'Third place: ': 0}",141.7227907,"{'Fastest Lap Time': 158.001, 'Average Lap Time': 92.85841558441558}"
perez,"{'Average Starting Grid': 4, 'Average Finishing Position': 8}","{'Finishing Status': ['Finished', 'Collision', 'Engine', '+1 Lap'], 'Count': ['17', '2', '1', '2']}","{'First place: ': 1, 'Second place: ': 0, 'Third place: ': 4}",176.6634884,"{'Fastest Lap Time': 147.951, 'Average Lap Time': 93.35988311688311}"
sainz,"{'Average Starting Grid': 8, 'Average Finishing Position': 6}","{'Finishing Status': ['Finished', '+1 Lap'], 'Count': ['19', '3']}","{'First place: ': 0, 'Second place: ': 1, 'Third place: ': 3}",269.5657568,"{'Fastest Lap Time': 148.127, 'Average Lap Time': 93.53224675324675}"
norris,"{'Average Starting Grid': 7, 'Average Finishing Position': 7}","{'Finishing Status': ['Finished', 'Collision', '+1 Lap'], 'Count': ['15', '1', '6']}","{'First place: ': 0, 'Second place: ': 1, 'Third place: ': 2}",220.824,"{'Fastest Lap Time': 152.067, 'Average Lap Time': 93.18293506493507}"
leclerc,"{'Average Starting Grid': 6, 'Average Finishing Position': 8}","{'Finishing Status': ['Finished', 'Collision', '+1 Lap', 'Driveshaft'], 'Count': ['16', '1', '4', '1']}","{'First place: ': 0, 'Second place: ': 1, 'Third place: ': 0}",230.268,"{'Fastest Lap Time': 155.188, 'Average Lap Time': 94.67678571428571}"
ricciardo,"{'Average Starting Grid': 10, 'Average Finishing Position': 9}","{'Finishing Status': ['Finished', '+1 Lap', 'Power loss'], 'Count': ['13', '8', '1']}","{'First place: ': 1, 'Second place: ': 0, 'Third place: ': 0}",262.3902105,"{'Fastest Lap Time': 151.045, 'Average Lap Time': 94.04290789473684}"
gasly,"{'Average Starting Grid': 6, 'Average Finishing Position': 9}","{'Finishing Status': ['Finished', 'Collision', '+1 Lap', 'Suspension', 'Retired'], 'Count': ['13', '1', '5', '2', '1']}","{'First place: ': 0, 'Second place: ': 0, 'Third place: ': 1}",238.4462619,"{'Fastest Lap Time': 152.61, 'Average Lap Time': 93.41336363636364}"
alonso,"{'Average Starting Grid': 10, 'Average Finishing Position': 10}","{'Finishing Status': ['Finished', '+1 Lap', 'Brakes', 'Rear wing'], 'Count': ['11', '9', '1', '1']}","{'First place: ': 0, 'Second place: ': 0, 'Third place: ': 1}",244.1652683,"{'Fastest Lap Time': 1590.538, 'Average Lap Time': 110.98922368421053}"
ocon,"{'Average Starting Grid': 11, 'Average Finishing Position': 11}","{'Finishing Status': ['Finished', 'Collision', '+1 Lap', 'Mechanical', 'Turbo'], 'Count': ['9', '1', '10', '1', '1']}","{'First place: ': 1, 'Second place: ': 0, 'Third place: ': 0}",237.7952424,"{'Fastest Lap Time': 143.946, 'Average Lap Time': 94.45667105263158}"
